iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"04-Jan-2017"
Total Net Assets,"$12,341,083,001"
Shares Outstanding,"271,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AON","AON PLC","Equity","0.2505","113.31","272,274","$30,851,367","30,851,366.94","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.2470","69.99","434,661","$30,421,923","30,421,923.39","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"ARMK","ARAMARK","Equity","0.2409","34.96","848,882","$29,676,915","29,676,914.72","Consumer Discretionary","BH3XG17","US03852U1060","New York Stock Exchange Inc."
"AWK","AMERICAN WATER WORKS INC","Equity","0.2406","72.81","407,107","$29,641,461","29,641,460.67","Utilities","B2R3PV1","US0304201033","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.2340","102.51","281,181","$28,823,864","28,823,864.31","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.2317","25.57","1,116,244","$28,542,359","28,542,359.08","Information Technology","2302232","US1273871087","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.2307","85.43","332,712","$28,423,586","28,423,586.16","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","0.2290","72.09","391,282","$28,207,519","28,207,519.38","Consumer Discretionary","2289874","US2371941053","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.2163","105.05","253,585","$26,639,104","26,639,104.25","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","0.2147","81.96","322,634","$26,443,083","26,443,082.64","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"WAT","WATER CORP CORP","Equity","0.2087","135.49","189,780","$25,713,292","25,713,292.20","Health Care","2937689","US9418481035","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.2024","107.44","231,998","$24,925,865","24,925,865.12","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.1946","76.07","315,184","$23,976,047","23,976,046.88","Financials","2196888","US1720621010","NASDAQ"
"HRL","HORMEL FOODS CORP","Equity","0.1942","35.86","667,138","$23,923,569","23,923,568.68","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.1864","282.11","81,398","$22,963,190","22,963,189.78","Consumer Discretionary","B65LWX6","US67103H1077","NASDAQ"
"CAG","CONAGRA BRANDS INC","Equity","0.1858","39.09","585,457","$22,885,514","22,885,514.13","Consumer Staples","2215460","US2058871029","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.1827","117.82","190,995","$22,503,031","22,503,030.90","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.1798","66.55","332,824","$22,149,437","22,149,437.20","Consumer Discretionary","2746711","US7782961038","NASDAQ"
